,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
240,REEM4,463,-048,-008,0197,"0,00%",137,-014,-433,-007,-384,-601,"-4,54%","-40,65%",45,"4,61%","15,78%",000,"-372.708.000,00",000,"-13,59%"
241,INEP3,400,-048,-010,18921,"0,00%",143,-014,-290,-006,-1762,-1921,"-652,32%","-3.745,68%",8,"-5,20%","20,32%","326.790,00","-1.806.160.000,00",-050,"-8,47%"
242,CCXC3,116,-048,-004,0000,"0,00%",185,000,-065,000,-052,-052,"0,00%","0,00%",0,"0,00%","7,85%",000,"-52.699.000,00",000,"0,00%"
243,LIGT3,664,-047,081,0186,"0,00%",106,-023,-174,-016,-794,-1735,"-10,70%","-39,79%",29,"-7,06%","-173,47%","7.492.270,00","3.048.560.000,00",346,"2,32%"
244,SEQL3,066,-045,183,0226,"0,00%",137,-097,-064,-020,-334,-586,"-35,25%","-50,03%",64,"-23,23%","-404,55%","7.678.440,00","126.809.000,00",777,"-14,83%"
245,GPIV33,289,-044,024,-0492,"0,00%",77,073,-040,-109,007,007,"121,82%","151,42%",138,"-30,70%","-54,77%","314.687,00","960.398.000,00",089,"123,96%"
246,DOCA3,1100,-040,-003,-3064,"0,00%",30,-032,-026,-002,-686,-676,"1.165,92%","636,17%",61,"-12,48%","8,24%",000,"-390.317.000,00",-082,"-38,80%"
247,FGUI4,038,-039,-007,0507,"0,00%",798,-007,-183,-006,-1424,-1424,"-27,72%","-129,00%",4,"-60,74%","17,32%",000,"-222.024.000,00",-046,"2,13%"
248,PCAR3,445,-039,024,1773,"0,00%",53,063,-431,-012,-1259,1561,"-41,15%","-426,84%",132,"-1,69%","-61,20%","33.208.700,00","5.016.000.000,00",121,"-60,47%"
249,TXRX4,271,-038,-003,0072,"0,00%",54,-005,10787,-002,"2.901,15",6559,"0,07%","-18,70%",32,"0,07%","8,34%","9.208,30","-359.822.000,00",-083,"16,24%"
250,INEP4,315,-038,-008,14900,"0,00%",112,-011,-228,-005,-1701,-1854,"-652,32%","-3.745,68%",8,"-5,20%","20,32%","184.049,00","-1.806.160.000,00",-050,"-8,47%"
251,WISA4,025,-035,-001,0219,"0,00%",29,-006,-031,-001,-1927,-1927,"-71,41%","-62,75%",18,"-9,78%","2,39%",000,"-205.386.000,00",-052,"-48,66%"
252,LETO3,080,-032,-005,0000,"0,00%",96,000,000,000,000,000,"0,00%","0,00%",0,"0,00%","17,05%",000,"-58.642.000,00",000,"-17,38%"
253,AVLL3,496,-031,-022,0368,"0,00%",105,-015,751,-009,6136,5028,"4,90%","-118,28%",28,"1,62%","71,88%","16.798,70","-636.418.000,00",-181,"15,55%"
254,AMAR3,312,-029,198,0096,"0,00%",86,-065,-221,-015,-1373,1025,"-4,32%","-32,42%",75,"-5,38%","-673,21%","3.356.620,00","107.804.000,00",1227,"-2,34%"
255,WISA3,020,-028,-001,0175,"0,00%",23,-005,-025,-001,-1921,-1921,"-71,41%","-62,75%",18,"-9,78%","2,39%",000,"-205.386.000,00",-052,"-48,66%"
256,VVAR11,1458,-026,010,0015,"0,00%",14,-010,032,-003,513,289,"4,81%","-5,91%",74,"6,25%","-40,32%",000,"4.434.000.000,00",195,"4,63%"
257,VVAR4,484,-026,010,0015,"0,00%",14,-010,032,-003,513,289,"4,81%","-5,91%",74,"6,25%","-40,32%",000,"4.434.000.000,00",195,"4,63%"
258,DOCA4,500,-018,-001,-1393,"0,00%",14,-015,-012,-001,-671,-662,"1.165,92%","636,17%",61,"-12,48%","8,24%",000,"-390.317.000,00",-082,"-38,80%"
259,RPMG3,210,-017,-003,0029,"0,00%",24,-003,-014,-003,-014,-014,"-20,57%","-16,72%",55,"-17,50%","16,32%","16.639,10","-5.058.390.000,00",000,"51,32%"
260,DUQE4,295,-017,-119,1275,"0,00%",45,-008,-017,-006,-123,-135,"-732,92%","-767,60%",33,"-28,21%","715,74%",000,"-6.987.000,00",-719,"-42,70%"
261,SJOS4,009,-015,-001,0676,"0,00%",292,-001,-608,-001,-13886,-13886,"-11,13%","-442,57%",2,"0,49%","4,54%",000,"-175.230.000,00",-016,"2,37%"
262,FTRX3,013,-015,-002,0206,"0,00%",23,-004,-019,-001,-177,-227,"-106,22%","-138,83%",6,"-11,99%","13,50%",000,"-154.535.000,00",-016,"-31,25%"
263,RSID3,383,-015,-006,-1629,"0,00%",122,-006,-096,-005,-869,-882,"169,20%","1.107,44%",22,"-14,01%","41,43%","288.495,00","-1.248.330.000,00",-051,"-28,52%"
264,FTRX4,011,-013,-002,0174,"0,00%",19,-003,-016,-001,-174,-224,"-106,22%","-138,83%",6,"-11,99%","13,50%",000,"-154.535.000,00",-016,"-31,25%"
265,MEND6,950,-012,-001,62941,"0,00%",103,-004,-010,-001,-1277,-1278,"-63.858,20%","-53.010,90%",0,"-105,25%","5,30%",000,"-15.574.200.000,00",-081,"-2,39%"
266,CTNM4,156,-010,020,0040,"0,00%",14,-005,-012,-003,-284,-386,"-33,48%","-70,52%",49,"-14,43%","-197,20%","513.955,00","240.294.000,00",543,"-4,20%"
267,SNSY5,376,-010,-002,0033,"0,00%",57,195,075,-001,407,292,"4,45%","-33,11%",105,"8,59%","15,19%","46.775,90","-1.895.740.000,00",-007,"21,03%"
268,NEXP3,513,-010,-010,0145,"0,00%",106,-026,470,-006,2207,416,"3,08%","-143,98%",47,"2,49%","96,62%","10.046,80","-143.251.000,00",-041,"-6,75%"
269,FBMC4,196,-009,-002,0095,"0,00%",34,-004,-007,-002,-053,-059,"-135,59%","-101,97%",31,"-64,70%","24,19%",000,"-63.552.000,00",-015,"-31,66%"
270,MEND5,650,-008,000,43065,"0,00%",71,-003,-007,000,-1274,-1274,"-63.858,20%","-53.010,90%",0,"-105,25%","5,30%",000,"-15.574.200.000,00",-081,"-2,39%"
271,PMAM4,584,-008,-006,0238,"0,00%",134,-007,-037,-005,-557,-651,"-65,13%","-297,02%",15,"-53,28%","78,99%",000,"-4.007.930.000,00",-091,"-30,00%"
272,SGPS3,123,-008,037,0061,"0,00%",24,-007,-014,-004,-220,-286,"-42,31%","-77,23%",45,"-20,14%","-470,13%","1.665.970,00","165.504.000,00",643,"-1,31%"
273,RCTB33,5700,-007,000,0012,"0,00%",1,000,-002,-001,363,1801,"-78,09%","-17,09%",496,"-11,71%","-4,28%",000,"1.586.870.000,00",007,"58,75%"
274,TENE7,980,-007,-001,74113,"0,00%",110,-264,-126,-001,-126,-227,"-5.868,75%","-102.881,00%",0,"-8,95%","14,01%",000,"-117.537.000,00",000,"0,00%"
275,VPTA4,1050,-007,-001,0260,"0,00%",54,-002,-013,-001,-689,-689,"-193,57%","-396,38%",23,"-45,00%","10,11%",000,"-867.658.000,00",-034,"-58,91%"
276,TEKA4,1950,-006,000,0034,"0,00%",9,000,-970,000,-54468,15837,"-0,35%","-52,84%",4,"-0,15%","7,43%","83.638,90","-2.032.660.000,00",-027,"22,20%"
